"","Year","Vessel.Type","freq"
"1",1978,"MERCHANT",1
"2",1978,"Other",1
"3",1979,"Other",2
"4",1980,"Other",2
"5",1981,"MERCHANT",1
"6",1983,"MERCHANT",2
"7",1984,"CARGO",1
"8",1984,"MERCHANT",3
"9",1984,"Other",3
"10",1984,"TANKER",1
"11",1985,"CARGO",1
"12",1985,"MERCHANT",2
"13",1985,"Other",12
"14",1985,"SS/USS",1
"15",1985,"TRAWLER",1
"16",1986,"MERCHANT",1
"17",1986,"Other",22
"18",1986,"SS/USS",5
"19",1986,"YACHT",1
"20",1987,"FISHING",1
"21",1987,"MERCHANT",9
"22",1987,"Other",11
"23",1987,"SS/USS",1
"24",1987,"TANKER",1
"25",1987,"TRAWLER",1
"26",1988,"FISHING",1
"27",1988,"MERCHANT",1
"28",1988,"Other",17
"29",1988,"SS/USS",7
"30",1988,"TANKER",2
"31",1989,"CONTAINER SHIP",1
"32",1989,"MERCHANT",1
"33",1989,"Other",12
"34",1989,"SS/USS",3
"35",1990,"FISHING",2
"36",1990,"MERCHANT",6
"37",1990,"Other",8
"38",1990,"SS/USS",4
"39",1990,"TRAWLER",1
"40",1991,"CARGO",1
"41",1991,"MERCHANT",10
"42",1991,"Other",14
"43",1991,"SS/USS",2
"44",1991,"TRAWLER",1
"45",1992,"MERCHANT",21
"46",1992,"Other",13
"47",1992,"TANKER",1
"48",1992,"TRAWLER",1
"49",1992,"YACHT",1
"50",1993,"FISHING",10
"51",1993,"MERCHANT",51
"52",1993,"Other",35
"53",1993,"SS/USS",6
"54",1994,"BULK CARRIER",1
"55",1994,"CARGO",1
"56",1994,"CONTAINER SHIP",1
"57",1994,"FISHING",2
"58",1994,"MERCHANT",63
"59",1994,"Other",23
"60",1994,"SS/USS",1
"61",1994,"TANKER",1
"62",1994,"TRAWLER",1
"63",1995,"CONTAINER SHIP",1
"64",1995,"FISHING",4
"65",1995,"MERCHANT",26
"66",1995,"Other",55
"67",1995,"SS/USS",3
"68",1995,"TANKER",1
"69",1996,"BARGE",1
"70",1996,"MERCHANT",35
"71",1996,"Other",8
"72",1996,"TANKER",2
"73",1996,"YACHT",2
"74",1997,"CARGO",2
"75",1997,"CONTAINER SHIP",2
"76",1997,"MERCHANT",48
"77",1997,"Other",15
"78",1997,"SS/USS",2
"79",1997,"TANKER",3
"80",1997,"YACHT",1
"81",1998,"FISHING",4
"82",1998,"MERCHANT",2
"83",1998,"Other",53
"84",1998,"SS/USS",6
"85",1998,"TANKER",2
"86",1999,"CONTAINER SHIP",1
"87",1999,"FISHING",3
"88",1999,"MERCHANT",41
"89",1999,"Other",85
"90",1999,"SS/USS",2
"91",1999,"YACHT",2
"92",2000,"BARGE",2
"93",2000,"FISHING",6
"94",2000,"MERCHANT",310
"95",2000,"Other",96
"96",2000,"SS/USS",6
"97",2000,"TANKER",1
"98",2000,"YACHT",3
"99",2001,"FISHING",2
"100",2001,"MERCHANT",260
"101",2001,"MOTOR",1
"102",2001,"Other",42
"103",2001,"SS/USS",2
"104",2001,"YACHT",4
"105",2002,"BARGE",1
"106",2002,"FISHING",14
"107",2002,"MERCHANT",342
"108",2002,"Other",12
"109",2002,"SS/USS",1
"110",2002,"YACHT",4
"111",2003,"BARGE",1
"112",2003,"CONTAINER SHIP",1
"113",2003,"FISHING",6
"114",2003,"MERCHANT",366
"115",2003,"Other",11
"116",2003,"YACHT",5
"117",2004,"CARGO",1
"118",2004,"FISHING",17
"119",2004,"MERCHANT",286
"120",2004,"Other",30
"121",2004,"SS/USS",1
"122",2004,"TANKER",1
"123",2004,"YACHT",10
"124",2005,"FISHING",17
"125",2005,"MERCHANT",294
"126",2005,"Other",24
"127",2005,"SS/USS",1
"128",2005,"YACHT",7
"129",2006,"BULK CARRIER",1
"130",2006,"FISHING",25
"131",2006,"MERCHANT",233
"132",2006,"Other",21
"133",2006,"SS/USS",3
"134",2006,"YACHT",15
"135",2007,"BARGE",1
"136",2007,"BULK CARRIER",8
"137",2007,"CARGO",9
"138",2007,"CONTAINER SHIP",18
"139",2007,"FISHING",17
"140",2007,"MERCHANT",184
"141",2007,"Other",52
"142",2007,"SS/USS",6
"143",2007,"TANKER",23
"144",2007,"YACHT",6
"145",2008,"BULK CARRIER",58
"146",2008,"CARGO",82
"147",2008,"CONTAINER SHIP",58
"148",2008,"FISHING",18
"149",2008,"MERCHANT",3
"150",2008,"MOTOR",6
"151",2008,"Other",109
"152",2008,"SS/USS",12
"153",2008,"TANKER",116
"154",2008,"TRAWLER",1
"155",2008,"YACHT",38
"156",2009,"BULK CARRIER",111
"157",2009,"CARGO",53
"158",2009,"CONTAINER SHIP",63
"159",2009,"FISHING",18
"160",2009,"MERCHANT",30
"161",2009,"MOTOR",29
"162",2009,"Other",36
"163",2009,"SS/USS",15
"164",2009,"TANKER",127
"165",2009,"TRAWLER",1
"166",2009,"YACHT",8
"167",2010,"BARGE",1
"168",2010,"BULK CARRIER",69
"169",2010,"CARGO",58
"170",2010,"CONTAINER SHIP",59
"171",2010,"FISHING",25
"172",2010,"MERCHANT",152
"173",2010,"Other",45
"174",2010,"SS/USS",3
"175",2010,"TANKER",133
"176",2011,"BARGE",4
"177",2011,"BULK CARRIER",87
"178",2011,"CARGO",40
"179",2011,"CONTAINER SHIP",58
"180",2011,"FISHING",12
"181",2011,"MERCHANT",71
"182",2011,"Other",44
"183",2011,"SS/USS",1
"184",2011,"TANKER",161
"185",2011,"TRAWLER",1
"186",2011,"YACHT",4
"187",2012,"BARGE",7
"188",2012,"BULK CARRIER",87
"189",2012,"CARGO",28
"190",2012,"CONTAINER SHIP",48
"191",2012,"FISHING",13
"192",2012,"MERCHANT",47
"193",2012,"Other",54
"194",2012,"SS/USS",2
"195",2012,"TANKER",161
"196",2012,"TRAWLER",2
"197",2012,"YACHT",2
"198",2013,"BARGE",10
"199",2013,"BULK CARRIER",84
"200",2013,"CARGO",54
"201",2013,"CONTAINER SHIP",44
"202",2013,"FISHING",16
"203",2013,"MERCHANT",26
"204",2013,"Other",62
"205",2013,"SS/USS",18
"206",2013,"TANKER",208
"207",2013,"TRAWLER",8
